34 1	06 22 2005 06 42 32 
35 1	06 22 2005 05 06 35 
25 1	06 22 2005 21 11 19 
45 2	06 23 2005 22 41 13 
36 3	06 24 2005 22 40 23 
23 4	06 25 2005 06 40 07 
24 4	06 25 2005 08 16 03 
44 6	06 27 2005 01 50 38 
43 6	06 27 2005 22 37 51 
13 7	06 28 2005 03 25 38 
14 7	06 28 2005 05 01 34 
22 7	06 28 2005 01 49 42 
33 7	06 28 2005 00 13 47 
15 7	06 28 2005 22 36 52 
16 8	06 29 2005 00 12 47 
17 8	06 29 2005 01 48 43 
26 8	06 29 2005 03 24 40 
37 8	06 29 2005 05 01 48 
21 9	06 30 2005 19 23 03 
47 10	07 1 2005 19 23 11 
57 10	07 1 2005 22 35 03 
55 11	07 2 2005 06 57 13 
56 11	07 2 2005 04 58 47 
54 11	07 2 2005 19 23 14 
42 12	07 3 2005 07 06 42 
52 12	07 3 2005 05 06 44 
53 12	07 3 2005 03 20 37 
06 12	07 3 2005 20 55 44 
32 12	07 3 2005 22 31 42 
05 13	07 4 2005 01 43 31 
07 13	07 4 2005 03 19 26 
12 13	07 4 2005 00 07 37 
08 13	07 4 2005 20 54 37 
09 13	07 4 2005 22 30 32 
18 13	07 4 2005 19 18 41 
78 14	07 5 2005 05 04 50 
10 14	07 5 2005 19 17 34 
27 14	07 5 2005 20 53 31 
38 14	07 5 2005 22 29 28 
48 15	07 6 2005 00 05 24 
49 15	07 6 2005 08 27 47 
58 15	07 6 2005 01 41 20 
66 15	07 6 2005 05 04 11 
67 15	07 6 2005 03 17 17 
63 15	07 6 2005 22 28 25 
64 15	07 6 2005 20 52 29 
65 15	07 6 2005 19 16 33 
41 16	07 7 2005 08 26 23 
51 16	07 7 2005 05 14 51 
60 16	07 7 2005 03 16 13 
61 16 	07 7 2005 01 40 17 
62 16	07 7 2005 00 04 21 
02 16	07 7 2005 22 27 14 
04 16	07 7 2005 17 39 26 
11 16	07 7 2005 20 51 21 
20 16	07 7 2005 19 15 26 
03 17	07 8 2005 00 03 09 
28 17	07 8 2005 01 40 17 
39 17	07 8 2005 03 25 53 
59 17	07 8 2005 22 26 13 
68 17	07 8 2005 19 14 23 
74 17	07 8 2005 20 50 20 
31 17	07 8 2005 17 38 27 
01 18	07 9 2005 01 38 00 
19 18	07 9 2005 03 24 57 
30 18	07 9 2005 06 48 52 
50 18	07 9 2005 00 02 08 
40 18	07 9 2005 17 37 26 
70 18	07 9 2005 20 49 19 
71 18	07 9 2005 22 25 15 
73 18	07 9 2005 19 13 22 
69 19	07 10 2005 01 37 07 
72 19	07 10 2005 00 01 10 
46 91	01 1 2006 10 09 32 
29 94	01 4 2006 18 12 16 
75 94	01 4 2006 21 24 34 
76 95	01 5 2006 00 23 55 
77 95	01 5 2006 01 59 43 
79 95	01 5 2006 03 35 34 
80 95	01 5 2006 05 23 30 
